id,name,group,control,scope,backend,implementation,runtime_verified,note
progress.ctos,ctOS 控制中心 / 塔 / 入侵,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
progress.privacy,隐私入侵,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
progress.notoriety,Notoriety / 恶名及本地奖励,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
progress.coop,Bad Blood 合作与合约进度,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
progress.rc,Eugene 升级链 / 冷却 / 电击 / C4,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
progress.achievements,游戏内完成项 / 进度轮（不是平台成就）,游戏内进度,READ+ACTION,campaign+dlc_solo,UNBOUND,UNBOUND,False,先读取当前状态和依赖、备份，再针对性修改；不把给予武器视为任务完成。
tool.search,搜索 / 分类 / 收藏,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
tool.hotkey,每项快捷键与冲突提示,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
tool.presets,按模式预设（载入不自动启用）,便利 / 保护,UI,all,UNBOUND,UNBOUND,False,
tool.stop,总停止 + 单项停止,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
tool.backup,备份 / 校验 / 恢复,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
tool.profile,构建指纹与未知版本拒绝,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
tool.logs,逐项错误与脱敏反馈,便利 / 保护,UI,all,TOOL_IMPLEMENTED,IMPLEMENTED_CANDIDATE_NOT_GAME_VERIFIED,False,
